time,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,VV_junc2__H_VV_out_alpha,VV_junc2__H_VV_out_beta,VV_junc3__H_VV_out_alpha,VV_junc3__H_VV_out_beta,VV_junc4__H_VV_out_alpha,VV_junc4__H_VV_out_beta,VV_junc5__H_VV_out_alpha,VV_junc5__H_VV_out_beta,VV_junc6__H_VV_out_alpha,VV_junc6__H_VV_out_beta,VV_junc7__H_VV_out_alpha,VV_junc7__H_VV_out_beta,inlet__u_mmHg,V1__u_mmHg,V2__u_mmHg,V3__u_mmHg,V4__u_mmHg,V5__u_mmHg,V6__u_mmHg,V7__u_mmHg,V8__u_mmHg,V9__u_mmHg,V10__u_mmHg,V11__u_mmHg,V12__u_mmHg,V13__u_mmHg,V14__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__v_mm3_s,PV2__v_mm3_s,PV3__v_mm3_s,PV4__v_mm3_s,PV5__v_mm3_s,PV6__v_mm3_s,V1__v_mm3_s,V2__v_mm3_s,V3__v_mm3_s,V4__v_mm3_s,V5__v_mm3_s,V6__v_mm3_s,V7__v_mm3_s,V8__v_mm3_s,V9__v_mm3_s,V10__v_mm3_s,V11__v_mm3_s,V12__v_mm3_s,V13__v_mm3_s,V14__v_mm3_s,PV7__R_constriction
0.0,0.46857314491308705,0.46857314327656013,0.4742551302603139,0.47425512998765923,0.47425796927229646,0.47425796853593216,0.47905351277198144,0.47905351275270974,0.47905317610671677,0.479053175091499,0.47905392699883564,0.4790539269722931,0.47905391659506036,0.4790539165368537,49.8768632540635,49.64550682082161,49.64550682083032,49.43535461520632,49.43535461517172,49.43535461481837,49.43535461553473,49.30949728805246,49.30949728804937,49.309497288232734,49.309497287951196,49.30949728792975,49.309497287928394,49.30949728815895,49.309497288145195,49.75372650825619,49.65166425639565,6.803572152389095e-06,6.803572211407287e-06,3.4017858864019214e-06,3.4017858819388955e-06,3.401786138240558e-06,3.401786150293935e-06,6.803571718614548e-06,6.803571720581309e-06,3.401785863143966e-06,3.4017858653458707e-06,3.4017858563221916e-06,3.4017858690800333e-06,1.7008929347454234e-06,1.700892934657155e-06,1.7008929398485493e-06,1.7008929318620311e-06,1.7008929312350196e-06,1.7008929311965785e-06,1.7008929377902557e-06,1.7008929373991715e-06,0.0
1.0,0.4499999976788946,0.4499999975661066,0.4499966489159996,0.44999664842717585,0.44999664923083804,0.4499966484989607,0.45000016628167055,0.4500001662354243,0.45000016782938607,0.45000016412874017,0.45000016317799413,0.450000163153704,0.45000016861832154,0.4500001684433465,49.876862918249934,49.64550585420932,49.645505854240064,49.43535307441358,49.43535307437123,49.43535307413037,49.435353074847654,49.30949540368964,49.30949540368706,49.30949540362191,49.30949540338243,49.30949540356968,49.30949540356862,49.309495403820996,49.30949540380919,49.75372583649989,49.651663306608135,6.803590307159034e-06,6.803590303042027e-06,3.4017951495106718e-06,3.4017951576356964e-06,3.4017951454302418e-06,3.4017951575952036e-06,6.803590307159976e-06,6.803590303043004e-06,3.401795149492482e-06,3.4017951576191085e-06,3.4017951454168777e-06,3.4017951575772562e-06,1.700897574893618e-06,1.7008975745450094e-06,1.7008975926505067e-06,1.7008975649147917e-06,1.70089757277448e-06,1.7008975725890345e-06,1.7008975794173982e-06,1.7008975781064701e-06,0.0
2.0,0.449999997721224,0.4499999975258363,0.44999664911044807,0.4499966482348224,0.4499966492114077,0.44999664851689725,0.4500001663325344,0.45000016625726585,0.4500001692600085,0.45000016278175237,0.45000016322451786,0.4500001631865702,0.4500001687257373,0.4500001684141866,49.876862965077024,49.64550598901647,49.64550598904995,49.43535328909608,49.43535328904499,49.43535328890424,49.43535328962236,49.3094956663242,49.30949566632212,49.3094956659881,49.309495665793015,49.30949566622139,49.30949566622052,49.30949566649551,49.309495666485894,49.753725930154076,49.65166343907508,6.80358772137132e-06,6.803587714239244e-06,3.401793853415712e-06,3.401793867969996e-06,3.4017938513182536e-06,3.4017938628621166e-06,6.803587721376616e-06,6.803587714235507e-06,3.4017938533927406e-06,3.4017938679443724e-06,3.4017938513283545e-06,3.401793862867516e-06,1.700896926960725e-06,1.7008969263879982e-06,1.7008969582269052e-06,1.7008969096734626e-06,1.7008969257812001e-06,1.700896925502801e-06,1.7008969325796644e-06,1.7008969302439082e-06,0.0
3.0,0.44999999775643146,0.44999999749289915,0.4499966492693838,0.4499966480762427,0.449996649195146,0.4499966485319749,0.4500001663424793,0.45000016624074923,0.4500001704147533,0.45000016162495016,0.4500001632267911,0.45000016317945396,0.4500001687805046,0.4500001683545714,49.876863003593556,49.64550609989897,49.645506099934686,49.435353465678176,49.43535346561988,49.43535346556146,49.4353534662803,49.30949588234816,49.30949588234646,49.309495881791065,49.30949588163294,49.30949588225942,49.30949588225873,49.309495882552305,49.3094958825445,49.75372600718715,49.65166354803268,6.80358559449026e-06,6.803585584870753e-06,3.4017927873317163e-06,3.401792807163602e-06,3.401792786916776e-06,3.4017927979397214e-06,6.80358559450134e-06,6.803585584872362e-06,3.401792787316928e-06,3.4017928071526273e-06,3.401792786905043e-06,3.401792797934561e-06,1.7008963940199482e-06,1.7008963932599386e-06,1.7008964365033685e-06,1.7008963706127244e-06,1.7008963936119826e-06,1.7008963932566307e-06,1.700896400543861e-06,1.7008963973541375e-06,0.0
4.0,0.4499999977919475,0.44999999747266023,0.44999664939823514,0.44999664794421323,0.44999664918112736,0.44999664854206434,0.45000016635540296,0.4500001662331865,0.4500001713767258,0.45000016066290843,0.45000016323160014,0.4500001631748733,0.45000016882777905,0.4500001683088035,49.87686303523093,49.64550619097753,49.6455061910151,49.43535361072225,49.43535361065804,49.435353610667235,49.435353611386645,49.309496059789666,49.3094960597883,49.30949605905085,49.30949605892348,49.30949605971249,49.30949605971193,49.30949606002076,49.30949606001448,49.75372607046187,49.65166363753014,6.80358384747615e-06,6.803583835821473e-06,3.401791911661709e-06,3.4017919358298397e-06,3.4017919125987935e-06,3.4017919232210246e-06,6.803583847489846e-06,6.803583835818839e-06,3.4017919116448574e-06,3.40179193582092e-06,3.4017919125905802e-06,3.4017919232011553e-06,1.7008959562653304e-06,1.7008959553496507e-06,1.7008960080517696e-06,1.7008959277396987e-06,1.7008959564906034e-06,1.7008959560707559e-06,1.7008959635356445e-06,1.7008959596356202e-06,0.0
5.0,0.44999999780547295,0.4499999974395169,0.44999664950676466,0.44999664783765125,0.44999664917144544,0.4499966485546816,0.4500001663595958,0.45000016621945366,0.45000017218032795,0.4500001598634492,0.45000016323478315,0.4500001631720811,0.45000016886616606,0.4500001682678057,49.876863061240414,49.64550626585433,49.64550626589344,49.435353729964696,49.43535372989562,49.43535372996046,49.435353730680326,49.30949620566645,49.30949620566536,49.30949620477808,49.30949620467631,49.30949620559879,49.30949620559834,49.309496205919714,49.3094962059147,49.75372612248084,49.65166371110711,6.803582411254052e-06,6.803582397895861e-06,3.401791191745817e-06,3.401791219489097e-06,3.40179119382461e-06,3.401791204076194e-06,6.803582411253814e-06,6.803582397901294e-06,3.401791191743357e-06,3.40179121948836e-06,3.401791193806983e-06,3.401791204072277e-06,1.700895596381914e-06,1.7008955953371349e-06,1.7008956558906027e-06,1.7008955635735425e-06,1.7008955971279228e-06,1.7008955966544045e-06,1.7008956042694266e-06,1.7008955997783383e-06,0.0
6.0,0.4499999978240185,0.4499999974204795,0.44999664959352637,0.4499966477490865,0.4499966491643312,0.4499966485638401,0.450000166355418,0.45000016620332556,0.4500001728488368,0.45000015919948766,0.45000016324209013,0.45000016317341274,0.4500001688977956,0.45000016823200095,49.876863082615024,49.645506327388176,49.64550632742853,49.43535382795829,49.43535382788525,49.435353827995755,49.435353828716,49.30949632554808,49.30949632554722,49.30949632453666,49.309496324456184,49.30949632548831,49.30949632548797,49.30949632581953,49.30949632581556,49.75372616523007,49.651663771572764,6.803581230980087e-06,6.803581216250041e-06,3.401790600144558e-06,3.401790630802035e-06,3.401790603124702e-06,3.4017906131058032e-06,6.803581230952264e-06,6.803581216218964e-06,3.401790600138252e-06,3.4017906308093835e-06,3.401790603107191e-06,3.401790613093668e-06,1.700895300632312e-06,1.7008952994795599e-06,1.7008953665482753e-06,1.700895264240876e-06,1.7008953018085858e-06,1.7008953012908034e-06,1.7008953090284083e-06,1.7008953040451242e-06,0.0
7.0,0.44999999784772415,0.4499999974132105,0.44999664967769076,0.4499966476850367,0.4499966491608518,0.4499966485772352,0.4500001664140613,0.45000016624916456,0.4500001733923523,0.45000015863417586,0.45000016334602616,0.45000016327137354,0.45000016890873884,0.4500001681891673,49.87686310019596,49.645506378000675,49.64550637804205,49.43535390855955,49.435353908483144,49.43535390863115,49.43535390935179,49.309496424152734,49.30949642415206,49.30949642304016,49.309496422977425,49.30949642409894,49.30949642409867,49.309496424439324,49.30949642443622,49.75372620039193,49.65166382130663,6.803580260131938e-06,6.803580244271241e-06,3.401790113504328e-06,3.401790146625353e-06,3.4017901172656408e-06,3.401790126966261e-06,6.80358026013676e-06,6.803580244269632e-06,3.4017901134980175e-06,3.4017901466002713e-06,3.40179011727701e-06,3.4017901269940297e-06,1.700895057364414e-06,1.7008950561217603e-06,1.700895128605233e-06,1.7008950179783723e-06,1.700895058880058e-06,1.7008950583249692e-06,1.7008950661854121e-06,1.7008950607921687e-06,0.0
8.0,0.4499999978852148,0.4499999974267472,0.4499966497665398,0.44999664765700137,0.4499966491636099,0.4499966485998795,0.45000016653406044,0.4500001663580672,0.45000017384889385,0.4500001581679745,0.45000016361852474,0.4500001635413115,0.45000016888656164,0.4500001681217492,49.876863114634304,49.645506419566196,49.645506419608346,49.435353974754456,49.43535397467542,49.435353974851644,49.435353975572724,49.309496505130824,49.30949650513031,49.30949650393887,49.309496503890884,49.30949650508029,49.30949650508009,49.30949650542975,49.309496505427376,49.753726229268615,49.651663862150556,6.803579462830433e-06,6.803579446095366e-06,3.4017897138793045e-06,3.4017897489431283e-06,3.4017897183616915e-06,3.4017897277317737e-06,6.803579462819268e-06,6.803579446095311e-06,3.4017897138723724e-06,3.4017897488392384e-06,3.4017897183575232e-06,3.4017897277801308e-06,1.7008948575963434e-06,1.7008948562793198e-06,1.7008949333494062e-06,1.7008948158030718e-06,1.700894859353992e-06,1.7008948587684023e-06,1.700894866751009e-06,1.700894861017232e-06,0.0
9.0,0.44999999784413885,0.4499999973625431,0.44999664975589665,0.449996647551766,0.4499966491366189,0.44999664856686655,0.45000016630968526,0.4500001661260095,0.45000017421378163,0.4500001577637676,0.45000016307741575,0.45000016299508105,0.4500001690004052,0.4500001681971808,49.876863126508816,49.64550645375084,49.64550645379376,49.435354029192645,49.43535402911147,49.43535402931608,49.43535403003705,49.30949657173076,49.30949657173039,49.309496570466706,49.30949657043102,49.309496571687326,49.30949657168718,49.30949657203973,49.30949657203796,49.75372625301763,49.6516638957418,6.803578807146125e-06,6.80357878956684e-06,3.401789385256447e-06,3.4017894218925354e-06,3.401789390059325e-06,3.401789399529499e-06,6.80357880714629e-06,6.803578789573615e-06,3.4017893852502725e-06,3.4017894219301047e-06,3.4017893900516703e-06,3.401789399488914e-06,1.7008946933052586e-06,1.7008946919263517e-06,1.7008947726278468e-06,1.7008946493197472e-06,1.7008946953771563e-06,1.7008946947656148e-06,1.700894702747272e-06,1.7008946967296457e-06,0.0
