time,inlet__H_link_R,inlet__H_link_L,inlet__H_down,inlet__RBC_volume,inlet__q_C,VV_junc1__RBC_volume,VV_junc1__q_C,VV_junc1__q_C_d,PV1__H_link_R,PV1__H_link_L,PV1__H_down,PV1__RBC_volume,PV1__q_C,PV2__H_link_R,PV2__H_link_L,PV2__H_down,PV2__RBC_volume,PV2__q_C,V1__H_link_R,V1__H_link_L,V1__H_down,V1__RBC_volume,V1__q_C,V2__H_link_R,V2__H_link_L,V2__H_down,V2__RBC_volume,V2__q_C,VV_junc2__RBC_volume,VV_junc2__q_C,VV_junc2__q_C_d,PV3__H_link_R,PV3__H_link_L,PV3__H_down,PV3__RBC_volume,PV3__q_C,PV4__H_link_R,PV4__H_link_L,PV4__H_down,PV4__RBC_volume,PV4__q_C,V3__H_link_R,V3__H_link_L,V3__H_down,V3__RBC_volume,V3__q_C,V4__H_link_R,V4__H_link_L,V4__H_down,V4__RBC_volume,V4__q_C,VV_junc3__RBC_volume,VV_junc3__q_C,VV_junc3__q_C_d,PV5__H_link_R,PV5__H_link_L,PV5__H_down,PV5__RBC_volume,PV5__q_C,PV6__H_link_R,PV6__H_link_L,PV6__H_down,PV6__RBC_volume,PV6__q_C,V5__H_link_R,V5__H_link_L,V5__H_down,V5__RBC_volume,V5__q_C,V6__H_link_R,V6__H_link_L,V6__H_down,V6__RBC_volume,V6__q_C,inlet__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__u_mmHg,PV2__u_mmHg,V1__u_mmHg,V2__u_mmHg,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta
0.0,0.16554533503524738,0.45,0.449999999005151,1.5269638949389773e-14,3.3304324226885967e-18,5.3129684920468425e-17,2.769272006972341e-18,2.764894767188325e-18,0.4499606157540015,0.4629569747141832,0.4494584270115804,7.635217082420872e-16,1.6593367921428482e-19,0.44996062342925724,0.4629455867731889,0.44945881826960615,7.635216829641695e-16,1.659336758114149e-19,0.16877102489882437,0.4498340144397035,0.4500038278206632,1.0692476758257886e-14,2.7654351283631478e-18,0.16877102492005452,0.4498340821456568,0.45000382704704384,1.0692476758081617e-14,2.7654351290434194e-18,4.5091178832564876e-17,2.7580055576032245e-18,2.7558170606915004e-18,0.45001259668412064,0.4616498943276744,0.4497385713914187,6.415547157656964e-16,1.653905004600027e-19,0.4500125966841176,0.46164989432758646,0.449738571391391,6.415547157656421e-16,1.6539050046000347e-19,0.45,0.44998862167485104,0.44999874157007946,7.069575833985925e-15,2.2051360761119726e-18,0.45,0.4499886216748402,0.44999874157007974,7.069575833985925e-15,2.2051360761119726e-18,4.509154804731749e-17,2.758005575811102e-18,2.7558170844178176e-18,0.4500126003633829,0.46165405002189513,0.44973848705000746,6.415546237201658e-16,1.6539042269352074e-19,0.45001259208841843,0.4616484826165441,0.4497385592079264,6.415546197280901e-16,1.6539042412527714e-19,0.45,0.4499886239845553,0.4499987412086233,7.069575834279371e-15,2.205136094950624e-18,0.45,0.4499886068011827,0.4499987420357697,7.069575834252539e-15,2.2051360949497965e-18,49.90690730491809,49.81381420309694,49.736653006604115,49.73422197556719,49.734220976105,49.73199813493897,49.73199814692719,0.4698083506999124,0.4697307414068656
1.0,1.0095243462399201e-16,0.45,0.4499999990217316,1.5269638961091278e-14,3.3304328963492916e-18,5.0893800921029175e-17,2.7692728192509035e-18,2.764895965790888e-18,0.4500323644338169,0.449999999035947,0.4500321482225088,7.635311041243173e-16,1.6593410411764131e-19,0.45003236231910154,0.4499999989806273,0.45003214612155046,7.63531100885848e-16,1.6593410411769168e-19,-1.5023454810629793e-16,0.4500322561470118,0.4500474707008177,1.0693572191117504e-14,2.7654363358337144e-18,-7.408991675994484e-17,0.4500322540391869,0.45004746746588015,1.0693572116676703e-14,2.7654363358353946e-18,4.276942642244546e-17,2.758005892488542e-18,2.7558174657583406e-18,0.45016882740270636,0.45004730523472614,0.4501683428471627,6.417723759785587e-16,1.6539119228104484e-19,0.4501688274126035,0.45004730523664954,0.4501683428570114,6.417723759915419e-16,1.653911922810447e-19,0.45,0.45016858487166717,0.4500532310051673,7.070577441808527e-15,2.2051363329753875e-18,0.45,0.45016858488154005,0.45005323100650063,7.070577441841727e-15,2.2051363329753844e-18,4.2769426116003163e-17,2.758005892559417e-18,2.7558174658297464e-18,0.4501688395590621,0.4500473017031247,0.45016835494125873,6.417723911552553e-16,1.653911922851343e-19,0.45016883793205276,0.4500473023202321,0.4501683533232569,6.417723891440367e-16,1.6539119228514331e-19,0.45,0.45016859699686357,0.4500532357263319,7.070577526616891e-15,2.205136333027299e-18,0.45,0.4501685953743614,0.45005323486228466,7.070577511950942e-15,2.2051363330275386e-18,49.9069142608988,49.813828521797504,49.736674135354754,49.73434677458822,49.734346774603004,49.73201941382167,49.732019413851276,0.44999999903062154,0.44999999898656456
2.0,4.699693111520998e-23,0.45,0.44999999929979384,1.5269638969637766e-14,3.330432855914076e-18,5.089380095281341e-17,2.76927275187846e-18,2.7648958705010224e-18,0.4500011442301013,0.44999999932390483,0.4500011365816503,7.634834322428059e-16,1.6593409906167647e-19,0.4500011440819612,0.44999999925309236,0.4500011364340547,7.634834320046525e-16,1.6593409906168273e-19,-6.993949971744628e-23,0.45000114039946726,0.45004190091537294,1.069338430769222e-14,2.765436262619146e-18,-3.449147862978841e-23,0.4500011402515998,0.4500418980670246,1.0693384245856973e-14,2.765436262619354e-18,4.276892838720427e-17,2.7580059476020576e-18,2.755817506912893e-18,0.45006222752708214,0.4500420824662592,0.45006214946333684,6.416343289167014e-16,1.653911965939166e-19,0.4500622275267951,0.45004208247995625,0.4500621494630455,6.416343289180982e-16,1.6539119659391665e-19,0.45,0.45006218846563795,0.4500701639880674,7.070666714798407e-15,2.205136415052079e-18,0.45,0.4500621884653486,0.45007016399145794,7.070666714846408e-15,2.20513641505208e-18,4.2768928115460556e-17,2.7580059476606467e-18,2.7558175069722222e-18,0.4500622262918299,0.4500420793517309,0.450062148220426,6.416343268972127e-16,1.6539119659751453e-19,0.45006222655889233,0.45004207987353045,0.45006214848852727,6.416343273129864e-16,1.6539119659749375e-19,0.45,0.45006218722655184,0.4500701696357461,7.070666793676527e-15,2.2051364151005466e-18,0.45,0.4500621874941344,0.4500701686889619,7.070666780539118e-15,2.2051364150999924e-18,49.906913667084325,49.813827334168174,49.73667245560212,49.73434528959297,49.73434528959481,49.73201812358383,49.732018123587494,0.44999999932118434,0.4499999992580705
3.0,-2.2854751744652664e-25,0.45,0.4499999994978049,1.526963897570843e-14,3.3304328038443172e-18,5.0893800976252e-17,2.769272665120774e-18,2.7648957477911763e-18,0.45000003994704885,0.449999999712213,0.4500000396779279,7.634817461114156e-16,1.6593409165710128e-19,0.45000003983915504,0.4499999992619343,0.4500000395683435,7.634817458716272e-16,1.6593409165710535e-19,3.4011793406622487e-25,0.45000003981226033,0.450033179853582,1.0693193578112596e-14,2.7654361385455227e-18,1.6773311950844007e-25,0.4500000397035236,0.45003317759035927,1.0693193528975925e-14,2.765436138545659e-18,4.276809712266574e-17,2.7580059422905208e-18,2.7558174836255683e-18,0.4500401763289937,0.4500333339784937,0.45004015081275756,6.416047175057789e-16,1.6539119555064668e-19,0.4500401763288815,0.45003333396854167,0.45004015081262516,6.416047175041552e-16,1.6539119555064675e-19,0.45,0.45004016356615106,0.4500686313569281,7.070613279559915e-15,2.205136405866829e-18,0.45,0.45004016356602894,0.45006863135991143,7.07061327960235e-15,2.2051364058668308e-18,4.2768096909012786e-17,2.758005942335672e-18,2.7558174836708542e-18,0.4500401738105945,0.4500333315213167,0.4500401482944581,6.416047139233766e-16,1.653911955534195e-19,0.45004017422726794,0.4500333319150747,0.45004014871104525,6.416047145142754e-16,1.6539119555340016e-19,0.45,0.45004016104780115,0.4500686358243414,7.070613339748664e-15,2.2051364059045305e-18,0.45,0.4500401614644314,0.4500686350849357,7.070613329786553e-15,2.2051364059040147e-18,49.90691290240986,49.81382580481927,49.736670292495006,49.73434311478376,49.734343114784956,49.7320159370725,49.732015937074905,0.4499999995024595,0.44999999949128067
4.0,-2.7683094372583464e-28,0.45,0.4499999996394451,1.526963898005163e-14,3.330432756243979e-18,5.089380099279121e-17,2.769272585809957e-18,2.7648956356136676e-18,0.4500000012441086,0.44999999982029293,0.45000000123451916,7.634816870295471e-16,1.659340848658804e-19,0.45000000117940275,0.4499999994311476,0.4500000011677519,7.634816868649522e-16,1.6593408486588165e-19,4.119719587316448e-28,0.4500000012393041,0.45002615370638754,1.0693041758847318e-14,2.7654360243816426e-18,2.0316877030248135e-28,0.450000001173568,0.45002615191267914,1.0693041719944552e-14,2.7654360243816846e-18,4.276742649683514e-17,2.7580059162308894e-18,2.7558174411328403e-18,0.45003048050843647,0.45002627554833685,0.450030465120341,6.415912560291818e-16,1.6539119313891636e-19,0.4500304805101882,0.4500262755942154,0.45003046512223627,6.415912560376673e-16,1.6539119313891627e-19,0.45,0.45003047281303804,0.4500639325456401,7.07053231086057e-15,2.2051363755580937e-18,0.45,0.45003047281486147,0.4500639325466603,7.070532310877651e-15,2.205136375558091e-18,4.2767426328136985e-17,2.758005916265127e-18,2.7558174411667113e-18,0.450030478301058,0.4500262736165453,0.45003046291393733,6.415912529198082e-16,1.653911931409947e-19,0.4500304786545268,0.45002627397250017,0.45003046326737994,6.415912534240074e-16,1.6539119314097961e-19,0.45,0.4500304706061467,0.45006393585376836,7.0705323549404115e-15,2.205136375586412e-18,0.45,0.4500304709596023,0.4500639353050049,7.070532347610142e-15,2.205136375586008e-18,49.90691220337142,49.813824406742434,49.73666831505004,49.73434112012379,49.73434112012416,49.73201392519753,49.73201392519827,0.4499999996573362,0.4499999996288813
5.0,-5.66549760256085e-31,0.45,0.44999999974185034,1.5269638983008384e-14,3.330432714253879e-18,5.0893801020512646e-17,2.7692725158468165e-18,2.764895536657186e-18,0.4499999998003269,0.4499999999526229,0.4499999998011269,7.634816848443883e-16,1.659340788743119e-19,0.44999999972192617,0.44999999978783756,0.44999999972232313,7.634816846971111e-16,1.659340788743115e-19,8.431232824938818e-31,0.44999999980072564,0.4500206109483732,1.0692922055262851e-14,2.765435923647968e-18,4.157960713818598e-31,0.4499999997221241,0.4500206095228822,1.0692922024294274e-14,2.765435923647954e-18,4.276689742554398e-17,2.7580058803049277e-18,2.7558173907104016e-18,0.45002385568782977,0.4500207068916226,0.45002384421656266,6.415819557630137e-16,1.6539119019985923e-19,0.4500238556762966,0.4500207068232179,0.4500238442048459,6.415819557388432e-16,1.6539119019985962e-19,0.45,0.4500238499514553,0.45005843542339685,7.070444336650093e-15,2.205136337532925e-18,0.45,0.45002384993983047,0.4500584354265224,7.070444336678223e-15,2.2051363375329343e-18,4.27668972908607e-17,2.758005880330813e-18,2.755817390735556e-18,0.4500238539028878,0.4500207052607805,0.450023842432215,6.415819532394162e-16,1.6539119020140436e-19,0.45002385419208474,0.4500207055840131,0.4500238427214766,6.415819536562514e-16,1.653911902013927e-19,0.45,0.4500238481668102,0.4500584378226807,7.070444368356592e-15,2.205136337553998e-18,0.45,0.4500238484560392,0.4500584374211722,7.070444363037065e-15,2.2051363375536873e-18,49.906911586722565,49.81382317344476,49.73666657066296,49.73433936033095,49.73433936033083,49.73201214999894,49.732012149998695,0.44999999991906753,0.44999999985737266
6.0,2.4540632183315873e-33,0.45,0.44999999976151167,1.526963898385457e-14,3.330432677546971e-18,5.0893801001227733e-17,2.7692724546864344e-18,2.764895450150686e-18,0.4499999998605668,0.4499999996398713,0.4499999998593768,7.634816848820928e-16,1.659340736365285e-19,0.44999999987028455,0.44999999976987715,0.4499999998697871,7.634816849187373e-16,1.6593407363652444e-19,-3.652065582321792e-33,0.4499999998599725,0.4500162460190395,1.0692827791129182e-14,2.7654358355868586e-18,-1.8010587348684307e-33,0.44999999987003625,0.45001624486925385,1.0692827766322724e-14,2.765435835586724e-18,4.2766480778255837e-17,2.7580058394743177e-18,2.755817337206851e-18,0.45001878454183675,0.45001632178344436,0.4500187755757689,6.415748198000954e-16,1.6539118705137053e-19,0.4500187844884126,0.45001632180261264,0.4500187755225412,6.415748197337219e-16,1.6539118705137125e-19,0.45,0.45001878005825985,0.4500527463267209,7.070355844108764e-15,2.2051362963885206e-18,0.45,0.45001878000493367,0.45005274632208875,7.070355843966181e-15,2.2051362963885395e-18,4.27664806683093e-17,2.7580058394937943e-18,2.755817337225367e-18,0.4500187830739985,0.4500163205810225,0.4500187741088193,6.41574817743581e-16,1.6539118705250911e-19,0.4500187833291506,0.4500163207012219,0.45001877436355714,6.415748180890446e-16,1.6539118705250035e-19,0.45,0.4500187785908658,0.45005274802982265,7.070355866327902e-15,2.205136296404066e-18,0.45,0.4500187788458111,0.45005274774896475,7.0703558626824836e-15,2.205136296403833e-18,49.90691104766042,49.81382209532053,49.736665045741915,49.7343378219335,49.73433782193231,49.73201059812508,49.7320105981227,0.4499999997590588,0.4499999996763492
7.0,7.205639197300496e-33,0.45,0.44999999982582495,1.5269638985918457e-14,3.330432645608721e-18,5.089380099921791e-17,2.769272401471504e-18,2.7648953748829435e-18,0.4499999996975382,0.44999999956801345,0.44999999969675675,7.634816846184562e-16,1.6593406907923262e-19,0.4499999998346647,0.4499999997775158,0.4499999998343636,7.634816848633816e-16,1.6593406907922535e-19,-1.0723223854190876e-32,0.44999999969714677,0.45001279870435373,1.069275334312956e-14,2.7654357589666397e-18,-5.288282891097546e-33,0.44999999983451383,0.45001279779591424,1.0692753323815802e-14,2.7654357589663978e-18,4.276615172410697e-17,2.7580057970771386e-18,2.75581728378329e-18,0.4500147940379764,0.45001285853603173,0.4500147869930654,6.415692027546009e-16,1.6539118389148058e-19,0.4500147940089067,0.45001285854029927,0.45001478696410774,6.415692027176961e-16,1.653911838914808e-19,0.45,0.4500147905151053,0.45004716750330925,7.0702704723529405e-15,2.2051362548760732e-18,0.45,0.4500147904860916,0.45004716749226303,7.070270472153615e-15,2.20513625487608e-18,4.276615163657526e-17,2.7580057970914163e-18,2.7558172837965723e-18,0.4500147928978355,0.4500128575872566,0.45001478585361293,6.415692011552845e-16,1.6539118389229807e-19,0.45001479305587017,0.4500128576708622,0.45001478601137207,6.415692013704066e-16,1.6539118389229234e-19,0.45,0.450014789375309,0.45004716868311334,7.0702704875685614e-15,2.205136254887245e-18,0.45,0.4500147895332059,0.4500471684895914,7.070270485031296e-15,2.205136254887092e-18,49.90691057862879,49.81382115725731,49.736663718935674,49.73433648340309,49.73433648340095,49.7320092478705,49.73200924786624,0.4499999997423155,0.449999999657551
8.0,-6.89984566415812e-33,0.45,0.4499999998796716,1.5269638987220118e-14,3.3304326179342735e-18,5.0893801035966006e-17,2.7692723553608446e-18,2.764895309663353e-18,0.44999999974000365,0.44999999986883155,0.44999999974073707,7.634816847320818e-16,1.6593406513032455e-19,0.4499999999801366,0.45000000013096414,0.44999999998095686,7.634816851430924e-16,1.659340651303153e-19,1.0268152314017634e-32,0.4499999997403694,0.45001008706473433,1.0692694783127706e-14,2.7654356925749376e-18,5.0638588180786624e-33,0.4499999999805457,0.4500100863802538,1.0692694768877554e-14,2.7654356925746303e-18,4.276589288892733e-17,2.7580057549385737e-18,2.755817232090205e-18,0.45001166027745565,0.4500101341385048,0.4500116547225582,6.415647910187827e-16,1.6539118082304347e-19,0.45001166015911653,0.45001013387393307,0.4500116546037441,6.415647908301944e-16,1.6539118082304554e-19,0.45,0.4500116574996733,0.4500418401778901,7.070189917639978e-15,2.205136214417585e-18,0.45,0.4500116573810968,0.45004184016639365,7.070189917306499e-15,2.2051362144176396e-18,4.276589282233632e-17,2.7580057549485862e-18,2.755817232099355e-18,0.4500116592986084,0.45001013313416427,0.45001165374367447,6.415647896199006e-16,1.6539118082360994e-19,0.4500116595044949,0.4500101334809492,0.45001165395002124,6.415647899325823e-16,1.6539118082360392e-19,0.45,0.45001165652080805,0.4500418409769856,7.07018992765008e-15,2.2051362144253687e-18,0.45,0.4500116567269245,0.4500418408387587,7.0701899259708604e-15,2.205136214425208e-18,49.90691017221356,49.81382034442689,49.736662569256445,49.7343353235632,49.73433532356049,49.73200807786994,49.73200807786452,0.4500000000612182,0.4499999999884974
9.0,9.083474004618228e-36,0.45,0.4499999999051438,1.5269638988209457e-14,3.3304325940330384e-18,5.0893801020001433e-17,2.7692723155370418e-18,2.76489525333593e-18,0.4499999998214242,0.4499999999311154,0.4499999998219842,7.634816848653338e-16,1.6593406171981767e-19,0.44999999995482226,0.44999999988319417,0.44999999995439505,7.634816850614066e-16,1.6593406171981226e-19,-1.35185902213003e-35,0.44999999982170413,0.45000795055792414,1.0692648643749922e-14,2.7654356352351887e-18,-6.666755583630029e-36,0.44999999995460926,0.4500079500853678,1.0692648633826828e-14,2.7654356352350077e-18,4.276568894396673e-17,2.758005714517777e-18,2.75581718341751e-18,0.4500091904089382,0.4500079874756382,0.45000918603056184,6.415613139934627e-16,1.6539117792670123e-19,0.45000919034341186,0.4500079875850193,0.4500091859656102,6.415613139238318e-16,1.6539117792670142e-19,0.45,0.45000918821948904,0.4500368721173397,7.070115442890911e-15,2.205136176131278e-18,0.45,0.4500091881542498,0.45003687208075877,7.070115442274804e-15,2.2051361761312828e-18,4.276568889928136e-17,2.7580057145245397e-18,2.7558171834235898e-18,0.450009189715494,0.45000798707642065,0.4500091853381288,6.415613130449457e-16,1.6539117792707729e-19,0.45000918984633514,0.45000798703202927,0.4500091854683837,6.415613132076293e-16,1.6539117792707413e-19,0.45,0.45000918752655006,0.45003687261493297,7.0701154490040866e-15,2.2051361761364404e-18,0.45,0.4500091876570983,0.45003687254057356,7.070115448129482e-15,2.2051361761363565e-18,49.90690982121012,49.81381964242004,49.73666157632676,49.73433432185796,49.73433432185637,49.73200706738917,49.732007067385986,0.44999999991282863,0.44999999985457123
