time,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,inlet__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__u_mmHg,PV2__u_mmHg,V1__u_mmHg,V2__u_mmHg,PV1__v_mm3_s,PV2__v_mm3_s,V1__v_mm3_s,V2__v_mm3_s,PV1__R_constriction,PV2__R_constriction,inlet__H_link_R,inlet__H_link_L,inlet__H_down,inlet__q_C
0.0,0.4500546438778496,0.45005464222897756,49.93951943708114,49.87903887416441,49.828909384730174,49.827394419523806,49.82739441925245,49.82587945431751,49.82587945377477,3.3416819097678096e-06,3.3416818802070064e-06,3.3416819084209094e-06,3.3416818788927226e-06,0.0,0.0,-1.9984014885135946e-16,0.45,0.45000000994816686,3.3326531138933488e-18
1.0,0.4500000139235063,0.45000000688990327,49.939525134842114,49.879050269687475,49.82892550286141,49.82741068035539,49.827410680127834,49.825895857849396,49.82589585739426,3.3413671439955392e-06,3.3413670179048044e-06,3.3413671430674003e-06,3.3413670169924686e-06,0.0,0.0,1.759167118410856e-29,0.45,0.45000000994602224,3.3326535018768033e-18
2.0,0.450000015873454,0.450000004187408,49.93953001714556,49.879060034293886,49.82893931417824,49.82742461394906,49.82742461375933,49.82590991371991,49.82590991334046,3.3410974280236005e-06,3.3410972185458716e-06,3.341097427234293e-06,3.3410972177343187e-06,0.0,0.0,-1.1423569755060895e-31,0.45,0.4500000099460097,3.332653834332475e-18
3.0,0.4500000178728804,0.45000000216220887,49.93953420001108,49.87906840002455,49.828951146888215,49.827436551418394,49.82743655126138,49.8259219559486,49.825921955634556,3.3408663518048135e-06,3.340866070203311e-06,3.3408663511413906e-06,3.3408660695421842e-06,0.0,0.0,9.1996587615478e-36,0.45,0.4500000099460114,3.3326541191606072e-18
4.0,0.4500000196012054,0.4500000004134258,49.93953778363269,49.879075567267414,49.82896128442546,49.827446778706864,49.82744677857811,49.82593227298828,49.82593227273078,3.3406683802217326e-06,3.3406680363161696e-06,3.3406683796466074e-06,3.3406680357305268e-06,0.0,0.0,1.1701497914140513e-41,0.45,0.4500000099460114,3.332654363183811e-18
5.0,0.45000002109615533,0.4499999989009218,49.93954085385718,49.87908170771612,49.82896996963795,49.82745554081254,49.82745554070823,49.825941111987134,49.825941111778505,3.340498770687214e-06,3.340498372898789e-06,3.3404987702000374e-06,3.3404983724179723e-06,0.0,0.0,-1.9121922842404703e-46,0.45,0.4500000099460113,3.332654572247742e-18
6.0,0.4500000223872607,0.4499999975947747,49.939543484235415,49.879086968472336,49.82897741059022,49.82746304764202,49.827463047558815,49.82594868469382,49.82594868452744,3.340353459942995e-06,3.3403530156253066e-06,3.3403534595359034e-06,3.3403530151895865e-06,0.0,0.0,-9.364735556706612e-51,0.45,0.4500000099460113,3.3326547513607717e-18
7.0,0.4500000235045137,0.44999999646463995,49.93954573778014,49.87909147556156,49.82898378553603,49.82746947902726,49.827469478962314,49.82595517251849,49.82595517238863,3.340228966928878e-06,3.3402284823527685e-06,3.340228966563978e-06,3.3402284819630727e-06,0.0,0.0,-3.049029149024556e-55,0.45,0.45000000994601136,3.3326549048136928e-18
8.0,0.45000002447076387,0.4499999954872706,49.93954766847737,49.87909533695583,49.828989247193874,49.82747498903883,49.827474988989685,49.825960730883786,49.82596073078551,3.3401223091644548e-06,3.3401217897737216e-06,3.340122308870215e-06,3.3401217894678736e-06,0.0,0.0,-1.0778875040144516e-59,0.45,0.4500000099460107,3.33265503628263e-18
9.0,0.45000002530566235,0.44999999464291507,49.93954932257895,49.87909864515884,49.82899392640341,49.82747970967478,49.82747970963928,49.82596549294614,49.825965492875156,3.340030931559966e-06,3.3400303820916596e-06,3.340030931313055e-06,3.3400303818219915e-06,0.0,0.0,-3.397964805416244e-64,0.45,0.4500000099460108,3.332655148917057e-18
